0 1560:0.562202744339,1599:0.322202526749,2661:0.662605338537,959:0.375589897836,
1 3433:0.676901806587,2099:0.462684095721,3093:0.572474778314,
2 3007:0.777375517382,2797:0.208639487522,1847:0.593428065752,
3 1073:0.567646551897,2749:0.444822100849,646:0.692755866605,
4 426:0.678467748866,1588:0.533330398618,3173:0.50521302404,
5 1256:0.638288812589,753:0.521501752212,210:0.566236094013,
6 2853:1.0,
7 1232:0.694984983293,266:0.399132826728,2757:0.598070948655,
8 3457:0.319238735145,484:0.33206137601,2125:0.352196763272,1853:0.236884490659,113:0.339048069953,3469:0.488933247888,2301:0.367105660404,1054:0.344803088794,
9 753:0.396971016621,1956:0.746873646659,1609:0.533473305696,
10 328:0.704927124067,569:0.365680054203,2064:0.607746532457,
11 2504:0.256812809572,1801:0.473423694304,467:0.747062057692,2126:0.389635045227,
12 1232:0.643596605518,1954:0.765364886421,
13 290:0.459976392164,1220:0.331550985123,2183:0.260005097065,1165:0.406489040179,333:0.28009163969,3285:0.223792897918,2619:0.325579246068,2588:0.424404598032,479:0.176079460889,
14 768:0.715091408279,1105:0.699030956257,
15 2544:0.522140027919,2212:0.547285445888,581:0.386221381552,2606:0.285356746454,2301:0.444131741321,
16 484:0.46725939993,2476:0.514637046668,3469:0.344000646446,2387:0.481054221523,1853:0.333331465068,479:0.236554198798,
17 1636:0.456640906913,1258:0.251356472815,2797:0.122557660577,1199:0.334440300595,277:0.193451821361,2829:0.402614294768,1720:0.34340635362,1370:0.330504029021,1563:0.338719271407,413:0.244979288128,
18 1697:0.335557754084,2386:0.69141450235,174:0.639802297288,
19 1025:0.378526097438,1075:0.568633182941,333:0.310037063313,3150:0.605720685824,1049:0.265242845245,
20 1057:0.917956955469,19:0.396680006941,
21 454:0.303693263384,2760:0.365172378063,557:0.355933473877,2797:0.200425129487,629:0.602672497252,827:0.407428073051,1853:0.279908720953,
22 1191:0.336657184856,1929:0.278793040934,2703:0.54031118715,2419:0.402145702146,702:0.54031118715,1950:0.251680067822,
23 1724:0.53803964959,533:0.596034116251,1887:0.596034116251,
24 1436:0.847353601952,2183:0.53102907007,
25 581:0.25366122884,263:0.295112099025,1258:0.276414290564,2606:0.187415680283,879:0.348944478505,752:0.502163604197,2899:0.301335005655,213:0.235699554362,1241:0.246031750628,858:0.149451247283,3407:0.28447407935,1546:0.230119389178,
26 3520:0.777827326775,171:0.2795283377,1853:0.230032816066,254:0.258137585924,2943:0.444182899727,
27 768:0.316182670373,388:0.313920722383,1094:0.401087993232,2825:0.228546393554,1834:0.369315630155,113:0.352096459746,3093:0.385699331705,2652:0.366919473825,2858:0.211228407894,
28 768:0.450055039315,943:0.270614871525,3409:0.380320393507,1172:0.514221142994,54:0.424862265828,2967:0.36693749107,
29 1697:0.430261207431,3249:0.435200695951,3285:0.299726576206,185:0.442211219003,1051:0.464659390053,2325:0.352392559745,
30 1024:0.324730477485,483:0.2825664751,3500:0.225746919008,1390:0.346675930626,1967:0.475821560946,2515:0.282199197187,213:0.304939620097,2967:0.255186528274,858:0.386709314687,479:0.172816251803,
31 1546:0.514417694345,2858:0.361287670039,581:0.567044024196,2054:0.532265657212,
32 2082:0.389829047144,2982:0.524281691285,2727:0.400898615475,203:0.304413078702,1950:0.280015464089,566:0.324038193553,2366:0.369277116543,
33 987:0.461931113949,964:0.52360132748,171:0.384512594,3285:0.285408217561,218:0.351393429288,443:0.39959500508,
34 192:0.443993204501,1272:0.699104103501,2858:0.243153072856,2981:0.270289825866,1609:0.426548332572,
35 616:0.51320076209,409:0.521030185545,932:0.327480282569,2108:0.598255119552,
36 1588:0.626873333008,5:0.651293730202,638:0.42760531026,
37 3319:1.0,
38 1515:0.593341669718,1251:0.389625567515,1644:0.437701564164,373:0.425240055851,959:0.351746806301,
39 3524:0.707621875926,2797:0.189918337086,1390:0.377593591059,62:0.398191362136,569:0.262751223403,1950:0.305009540279,
40 768:0.288429492604,388:0.286366088844,566:0.29863112216,394:0.416025359818,1581:0.527865262811,2480:0.232685629904,1398:0.419934184733,254:0.251825706134,
41 3320:0.444603222109,1001:0.498147784351,842:0.413101002305,2607:0.473100230784,671:0.399625441336,
42 2423:0.228180403404,2681:0.649020728575,1770:0.429864892625,803:0.443218726898,263:0.381417267041,
43 1351:0.465945938719,1992:0.394442382415,3409:0.392311346872,19:0.416422244706,571:0.411739745906,1853:0.361198410872,
44 3500:0.440399827371,1782:0.897801755429,
45 2947:0.476309655399,2797:0.227922705615,1759:0.849223381943,
46 426:0.600120925635,2775:0.389743036133,3173:0.446872984216,413:0.42175098112,645:0.332243715221,
47 2896:0.462461904085,2279:0.262575982611,904:0.343530947099,2825:0.194808875399,1323:0.303468625889,80:0.242055844125,113:0.300120751364,1687:0.373200803044,3257:0.261709115297,923:0.335695735273,
48 1724:0.53803964959,533:0.596034116251,1887:0.596034116251,
49 3426:0.504146610658,1135:0.578993371565,2204:0.597749574253,479:0.230864282914,
50 1232:0.391742783226,219:0.543627748497,1861:0.638967681464,2894:0.377791959811,
51 3469:0.492862766422,663:0.870107058628,
52 569:0.559841329497,3509:0.596904039953,585:0.574702751755,
53 2946:0.286012157891,1164:0.533126094721,2864:0.390457465974,213:0.250232358327,887:0.533126094721,1241:0.261201618941,671:0.257780193515,
54 1992:0.349073891643,3253:0.688247383035,333:0.360848929727,1165:0.523689801155,
55 1450:0.500504758811,3059:0.43378626583,2326:0.448138959559,92:0.482742003603,2858:0.275186169091,479:0.227439366004,
56 1235:0.79251237535,2476:0.609855831256,
57 3208:0.63241197293,585:0.340304023724,3257:0.41765977136,1457:0.556604512485,
58 2244:0.479619063881,645:0.28005912024,2279:0.31103411174,423:0.491540815257,2515:0.287839201094,249:0.438902346509,254:0.278731368069,
59 491:0.376988923622,2183:0.276759957516,266:0.211051866519,203:0.330171286724,684:0.348619988153,2325:0.280071663598,1078:0.437020650481,1848:0.375983859653,858:0.209700829875,2858:0.22677285075,
60 3088:0.605972548321,2967:0.394898685728,213:0.471891114384,638:0.411524711123,943:0.291236136138,
61 2184:0.656606942622,2323:0.580254835745,3500:0.328334015432,2606:0.352659074468,
62 1498:0.697645409705,2894:0.350903564495,2014:0.39388409908,1095:0.484781277727,
63 696:0.608125695408,185:0.428217979348,3500:0.298304664318,3452:0.544041273931,943:0.248688399917,
64 3500:0.261795079216,942:0.314693618578,377:0.69718379522,858:0.224230293191,3132:0.299779077845,509:0.454113750847,
65 3397:0.427135840003,2760:0.294864570678,585:0.229843917022,1516:0.460307892224,2920:0.304593097372,306:0.402265045742,3349:0.393963787782,2967:0.236847396508,
66 45:0.461119275246,942:0.296710488703,1649:0.415826120573,3285:0.240163382542,2391:0.424430923458,569:0.263771842206,858:0.211416679421,1051:0.372319906555,479:0.188959700315,
67 2920:0.490518075379,3400:0.559883146501,2947:0.544645096959,3132:0.38637365121,
68 712:0.619569535739,1019:0.728300880763,1599:0.292765123375,
69 943:0.167847044191,307:0.536171861989,2167:0.410441743582,559:0.429795437265,3027:0.478995243046,927:0.318942186827,
70 266:0.287401642628,3426:0.557352874658,3412:0.474736181682,2981:0.343274105665,3421:0.513367816587,
71 1457:0.846082986327,2183:0.533051198524,
72 1349:0.741240574438,782:0.671239458619,
73 2387:0.480075033624,3500:0.30837772642,2551:0.821237566079,
74 1672:0.698643486047,1804:0.580343372101,2797:0.2126703208,54:0.360375060893,
75 897:0.394245490865,808:0.535108875129,2827:0.327275997464,3407:0.356336575324,2588:0.403291036746,2301:0.365382121205,479:0.167319743143,
76 1536:0.632638068475,373:0.54853921807,837:0.546693516109,
77 3504:0.76746356214,569:0.389096630793,2525:0.509512995607,
78 355:0.329479098442,2920:0.297696048618,2967:0.462968692819,306:0.393156363842,213:0.276616281941,1687:0.393156363842,1848:0.314476049185,1593:0.270483600063,858:0.175395530411,
79 569:0.303478163685,500:0.720606752932,2525:0.397397602661,263:0.480314539853,
80 2362:0.498393098181,1747:0.530272653523,2413:0.636761058262,943:0.254854050963,
81 768:0.448596091041,2858:0.29968827193,483:0.404990497873,996:0.551683085794,615:0.490486448592,
82 8:0.602328280904,597:0.716566745011,3125:0.351756651633,
83 2884:0.423958113561,2387:0.436474558474,3285:0.272792964533,1463:0.407586855038,218:0.335861581394,380:0.372646632357,1853:0.302441382971,479:0.214632540067,
84 3264:0.389709161157,977:0.664776407541,2066:0.519960355308,2263:0.368565227057,
85 1433:0.628728795693,483:0.310148212692,1684:0.713097600354,
86 1848:0.511675937506,3509:0.379624897998,1277:0.523161836502,2054:0.454665663127,2423:0.337125346717,
87 3360:0.516121781057,434:0.575282039633,1580:0.634561960721,
88 3260:0.606020908547,2423:0.311995154969,2323:0.544944746148,1964:0.41515039214,943:0.257066250666,
89 3122:0.649728116038,2205:0.760166675953,
90 738:0.413497147695,483:0.298378926213,72:0.398503552906,2190:0.427709891422,3507:0.457666303412,858:0.204174805296,2652:0.383540735705,
91 2981:0.259574727149,1201:0.531387139582,549:0.48402561709,454:0.295063766843,775:0.573502610639,
92 3249:0.466666659567,2898:0.629642450125,2823:0.621105960242,
93 2858:0.438426029456,2797:0.182804449173,724:0.549687627365,2333:0.630272594696,1599:0.273797587197,
94 3184:0.550333567399,571:0.476201292947,380:0.514718282626,454:0.453244285921,
95 884:0.712808713623,645:0.420864003446,254:0.418868699405,1853:0.373264304541,
96 3320:0.521578051244,842:0.484621804418,3:0.508172952671,2019:0.484621804418,
97 333:0.683862998464,1765:0.729610443546,
98 2953:0.372109175326,2858:0.284724111871,2423:0.311027508406,1964:0.413862811729,2797:0.237434964806,3095:0.67533032016,
99 2504:0.257149063655,1241:0.36649737549,1106:0.571034263933,1747:0.450868219451,2461:0.519799721935,
100 2504:0.232366641677,634:0.575033305031,2667:0.558789544143,1578:0.478815934236,1599:0.271720423264,
101 1258:0.446189899837,2366:0.460773006197,261:0.420741377869,638:0.331796746642,2789:0.54908143468,
102 996:0.509723267836,612:0.860338416105,
103 409:0.535227573428,1267:0.67822960216,454:0.371843575672,569:0.339512012493,
104 2744:0.641600877269,2099:0.41609371322,2677:0.530403043226,942:0.365905654292,
105 1853:0.677726233307,454:0.735314322374,
106 605:0.707106781187,2621:0.707106781187,
107 1169:0.908298582197,2423:0.418322466023,
108 3474:1.0,
109 2480:0.399157364335,266:0.307628557786,2683:0.495685303846,2437:0.707343020381,
110 1240:0.641239615307,2320:0.591733417848,266:0.285767828548,858:0.283938501878,943:0.276367496789,
111 768:0.279610004687,2722:0.387188853853,2054:0.275196099824,2858:0.18679574074,557:0.276633044628,753:0.243838098142,2995:0.458764599754,1240:0.390096557011,95:0.40330429374,
112 3457:0.391796226518,1572:0.659827800582,3390:0.641188732329,
113 160:0.548176562021,2148:0.409612241526,2345:0.525928893418,2775:0.356008245159,2797:0.192729807659,2953:0.30204704622,
114 2672:0.831877887623,2885:0.554958719262,
115 1818:0.700953026834,2858:0.349730574711,581:0.54890506628,2797:0.29164465964,
116 2183:0.26844599796,2858:0.219960520215,684:0.338147329796,333:0.289184637476,3056:0.683438620154,1689:0.290233610913,3196:0.360913906776,
117 2666:0.908374955766,2981:0.324982750326,943:0.263137134833,
118 1256:0.595451550619,1834:0.651622001703,3125:0.469921501703,
119 192:0.486850944225,3409:0.337263372241,266:0.248140466094,2974:0.766587167215,
120 3264:0.510403551343,2858:0.302821413028,2639:0.487215473387,2781:0.58971905502,479:0.250279693994,
121 1105:0.375335991045,203:0.373463245997,1388:0.591179676985,2149:0.608403391867,
