0 “maman 4.03269932749 [2918,1]
1 haggi 2.91875597519 [474,1][676,1][1507,1][1655,1][1986,1][3787,1][4945,1][5320,1][7852,1][7877,1][8152,1][9915,1][10072,1]
2 ulster 4.03269932749 [4405,1]
3 mackerel 2.11362123512 [96,1][201,1][319,1][508,1][791,1][844,1][1143,1][1375,1][1468,1][1617,1][1703,1][1909,1][1920,1][1948,1][2156,1][2330,1][2509,1][2565,1][2605,1][2691,1][2694,1][2832,1][2852,1][2870,1][3077,1][3183,1][3231,1][3653,1][3665,1][3858,1][3923,1][3941,1][4125,1][4692,1][4741,1][4819,1][5208,1][5238,1][5376,2][5386,1][5432,1][5481,1][5505,1][5554,1][5685,1][5721,1][5839,1][6131,1][6342,1][6426,1][6564,1][6772,1][6809,1][7169,1][7241,1][7504,1][7969,1][7986,1][8119,1][8127,1][8261,1][8440,1][8446,1][8503,1][8756,1][8773,1][8961,1][8982,1][8994,1][9136,1][9146,1][9392,1][9419,1][9487,1][9604,1][9622,1][9711,1][9789,1][9794,1][10107,1][10202,1][10235,1][10387,1]
4 jansson 4.03269932749 [8414,2]
5 tagliatell 2.51418538761 [36,1][666,1][1500,1][2321,1][2615,1][3110,1][3830,1][3871,1][4001,2][4152,1][4516,1][4921,1][5061,1][5095,1][5649,1][5802,1][6895,1][7931,1][7933,1][8161,1][8239,1][8433,1][8460,1][8632,1][8932,1][8935,1][9172,1][9359,1][9536,1][10297,1][10476,1][10508,1][10576,1]
6 yellow 3.07845681805 [528,1][2287,1][3158,1][3229,1][4473,1][6622,1][8718,1][10251,1][10537,1]
7 whoopi 3.55557807277 [675,1][2725,1][8016,1]
8 asian 2.80225040611 [82,1][190,1][622,1][839,1][1670,1][2102,1][2756,1][3917,1][4680,1][4753,1][5790,1][7920,1][8004,1][8682,1][9560,1][9950,1][10776,1]
9 sicilian 3.55557807277 [2943,1][4615,1][9277,1]
10 captain 3.73166933183 [9437,1][9559,1]
11 red-cabbag 3.73166933183 [5910,1][9287,1]
12 shoestr 3.73166933183 [2194,1][9489,1]
13 punjab 4.03269932749 [10001,1]
14 swan 4.03269932749 [6005,1]
15 chanterell 3.07845681805 [959,1][7851,1][8347,1][8850,1][9649,1][9821,1][9850,1][10326,1][10472,1]
16 nutmeg-sp 4.03269932749 [4245,1]
17 spätzle 4.03269932749 [7565,1]
18 pancetta 2.292336638 [330,1][385,1][817,1][884,1][960,1][1110,1][1211,1][1283,1][1618,1][2066,1][2091,1][2167,1][2300,1][2505,1][2610,1][2747,1][2798,1][2967,1][2971,1][3122,1][3493,1][3820,1][3864,1][3924,1][4162,1][4418,1][4552,1][4805,1][5130,1][5145,1][5296,1][5760,1][6101,1][6341,1][6401,1][6555,1][6598,1][6608,1][6654,1][6692,1][6794,1][7011,1][7029,1][7461,1][7787,1][8987,1][9206,1][9359,1][9652,1][9783,1][9814,1][10033,1][10293,1][10335,1][10389,1]
